#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_marshal.txt
#########################
#
#	Marshal events
#
#########################
# Military Accident
evt_marshal_001_title;Military Drill Accident;;;;;;;;;;;Kàòàñòðîôà â âîåííîé ïîäãîòîâêå;;x
evt_marshal_001_desc_a;I was skeptical about my visit to [Root.Location.GetName] to try and find some way to get into the thickheaded peasants how different sorts of military equipment should be best used. Of course they managed to fumble...;;;;;;;;;;;ß áûë ñêåïòè÷åñêè íàñòðîåí ïî ïîâîäó ìîåé ïîåçäêè â îêðóã [Root.Location.GetName], ïûòàÿñü íàéòè ñïîñîá âáèòü â òâåðäîëîáûõ êðåñòüÿí, êàê ëó÷øå èñïîëüçîâàòü ðàçíîîáðàçíîå âîîðóæåíèå. Êîíå÷íî, îíè íåóêëþæè â îáðàùåíèè ñ îðóæèåì…;;x
evt_marshal_001_option_a;They wounded me!;;;;;;;;;;;Îíè ðàíèëè ìåíÿ!;;x
evt_marshal_001_option_b;They maimed me!;;;;;;;;;;;Îíè ïîêàëå÷èëè ìåíÿ!;;x
evt_marshal_001_option_tooltip;Send a letter to my liege;;;;;;;;;;;Ïîñëàòü ïèñüìî ñþçåðåíó.;;x
# Liege gets a letter about Marshal being wounded
evt_marshal_002_desc_a;My liege, I was trying to teach the thickheaded peasants of [From.Location.GetName] how to use siege weapons when one of them dropped a boulder on my foot! I despair of ever teaching these idiots how to wage war...\n\nYour humble Marshal,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìîè ïîïûòêè íàó÷èòü òâåðäîëîáûõ [From.Location.County.GetAdjective]ñêèõ êðåñòüÿí îáñëóæèâàòü îñàäíûå îðóäèÿ, çàêîí÷èëèñü êàòàñòðîôîé, êîãäà îäèí èç íèõ óðîíèë êàìåíü ìíå íà íîãó! Ýòè èäèîòû íåïðèãîäíû ê âîåííîé ñëóæáå...\n\nÂàø ñêðîìíûé [Root.GetMarshalName],\n [From.GetTitledName];;x
evt_marshal_002_option_a;Oh dear...;;;;;;;;;;;Ïðîêëÿòüå.;;x
# Liege gets a letter about Marshal being maimed
evt_marshal_003_desc_a;My liege, I implore you to send me to another county! The nitwits of [From.Location.GetName] have already cost me one limb, I don't want to lose any more limbs just because they don't know the back from the front of an arrow!\n\nYour humble Marshal,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ÿ óìîëÿþ Âàñ îòïðàâèòü ìåíÿ â äðóãîé îêðóã! Îáó÷åíèå [From.Location.County.GetAdjective]ñêèõ ïðèäóðêîâ óæå ñòîèëî ìíå îäíîé èç êîíå÷íîñòåé, è ÿ íå õî÷ó ïîòåðÿòü äðóãèå òîëüêî ïîòîìó, ÷òî îíè íå çíàþò, êàêîé êîíåö ó ñòðåëû çàòî÷åí!\n\nÂàø ñêðîìíûé [Root.GetMarshalName],\n [From.GetTitledName];;x
evt_marshal_003_option_a;How can I wage war with these peasants?!;;;;;;;;;;;Êàê ÿ ìîãó âîåâàòü ñ ýòèì ìóæè÷ü¸ì?!;;x
# Military Secrets Revealed!
evt_marshal_101_title;Military Secrets Revealed;;;;;;;;;;;Pàñïðîñòðaíåíèå âîåííîé ìóäðîñòè;;x
evt_marshal_101_desc_a;I had traveled to [Root.Location.GetName] to try and help teach the population about the military equipment they have at their disposal, in case they would ever be besieged or if my liege would need to recruit soldiers from the province. But I feel I am getting nowhere...;;;;;;;;;;;Ïðèáûâ â îêðóã [Root.Location.GetName], ÿ ñòàðàþñü ïîìî÷ü íàñåëåíèþ ñ âîîðóæåíèåì. Ýòî ïðèãîäèëîñü áû â ñëó÷àå îñàäû âðàãàìè èëè ñáîðà îïîë÷åíèÿ. Íî ÿ ÷óâñòâóþ, ÷òî ýòî íè ê ÷åìó íå ïðèâåä¸ò...;;x
evt_marshal_101_option_a;If only something would go my way;;;;;;;;;;;Åñëè òîëüêî ÷òî-íèáóäü ïîïàäåòñÿ ìíå íà ïóòè;;x
evt_marshal_101_option_a_tooltip;A chance meeting with a local noble;;;;;;;;;;;Ñëó÷àéíàÿ âñòðå÷à ñ ìåñòíîé çíàòüþ.;;x
# Noble helps
evt_marshal_102_desc_a;On the road to [From.Location.GetName] I met [From.GetTitledName], the Marshal of [From.Liege.GetTitledName]. I knew [From.GetSheHe] would be interested in the military advancements I have done lately. Should I share them with [From.GetHerHim]?;;;;;;;;;;;Íà ïóòè ê [From.Location.GetName] ÿ âñòðåòèëñÿ ñ [From.GetTitledName], êîòîðîãî ñàì [From.Liege.GetTitledName] íàçíà÷èë ñâîèì [From.GetMarshalName]. ß çíàþ, îíè áûëè áû ðàäû ïåðåíÿòü íàøè âîåííûå òðàäèöèè. Äîëæåí ëè ÿ ïîäåëèòüñÿ èìè?;;x
evt_marshal_102_option_a;I see no reason why not;;;;;;;;;;;Ïî÷åìó áû è íåò?;;x
evt_marshal_102_option_a_tooltip;Talk to [This.GetTitledName];;;;;;;;;;;Ïîãîâîðèòü ñ íèì.;;x
evt_marshal_102_option_b;I better keep it to myself...;;;;;;;;;;;ß ëó÷øå ïðèäåðæó ýòî äëÿ ñåáÿ…;;x
# Inform Marshal
